# fit | chi2 = 34.32 | parameters: omega_b: 2.2350e-02, omega_cdm: 1.2000e-01, Omega_k: 0.0000e+00, Omega_nu: 0.0000e+00, Omega_m: 3.1243e-01, h: 6.7500e-01, A_s: 2.0989e-09, n_s: 9.6500e-01, sigma8: 8.2325e-01, 
# b1: 1.8806, c2: 1.1131, c4: 0.0000, b3: 1.1511, cct: -0.1077, cr1: -1.6408, cr2: -1.3996, ce0: 0.1409, ce1: 0.0000, ce2: -0.5961, cr4: 0.0000, cr6: 0.0000, b2: 0.7871, b4: 0.7871, 
# k [h/Mpc], P_data_l0 [Mpc/h]^3, sigma_data_l0 [Mpc/h]^3, P_theo_l0 [Mpc/h]^3k [h/Mpc], P_data_l2 [Mpc/h]^3, sigma_data_l2 [Mpc/h]^3, P_theo_l2 [Mpc/h]^3
0.0162 2.884590e+04 2.479413e+04 2.268156e+04
0.0269 3.209650e+04 1.463062e+04 2.186041e+04
0.0377 1.442900e+04 8.364048e+03 1.734511e+04
0.0485 3.159160e+03 5.500545e+03 1.369874e+04
0.0592 4.350500e+03 3.938794e+03 1.129249e+04
0.0700 1.470020e+04 2.953999e+03 9.369786e+03
0.0808 8.137870e+03 2.251464e+03 7.624389e+03
0.0916 5.656400e+03 1.627609e+03 6.203884e+03
0.1023 4.789420e+03 1.269815e+03 5.163460e+03
0.1131 5.191140e+03 1.030539e+03 4.353223e+03
0.1239 4.387160e+03 8.462376e+02 3.666546e+03
0.1346 3.336510e+03 7.575619e+02 3.116703e+03
0.1454 2.719520e+03 6.247359e+02 2.726659e+03
0.1562 1.851820e+03 5.312146e+02 2.434166e+03
0.1669 2.312390e+03 4.644104e+02 2.150854e+03
0.1777 1.587570e+03 4.221327e+02 1.853632e+03
0.1885 1.157390e+03 3.568599e+02 1.569326e+03
0.1993 1.455820e+03 3.239753e+02 1.341032e+03
